run_id,timestamp_utc,dataset_split,benchmark_id,style,category,repetition,mutation_attempt,topic,call_type,model_name,status,input_chars,output_chars,est_input_tokens,est_output_tokens,est_cost_usd,estimation_method,pricing_source,input_price_per_1m_tokens,output_price_per_1m_tokens,tokens_estimated,cost_estimated
20260412T154910Z_attack57_baseline_full,2026-04-12T15:57:58+00:00,attack_eval,attack_history_run_57,poem,malware,4,0,,judge,gemini-2.5-flash,ok,13294,6,3324,2,0.0011654999999999999,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:58:27+00:00,attack_eval,attack_history_run_57,poem,malware,5,0,,paraphraser,deepseek-chat,ok,1664,68,416,17,0.00013102,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:58:27+00:00,attack_eval,attack_history_run_57,poem,malware,5,0,,target,gemini-2.5-flash,ok,112,9892,28,2473,0.00260645,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:58:27+00:00,attack_eval,attack_history_run_57,poem,malware,5,0,,judge,gemini-2.5-flash,ok,10354,6,2589,2,0.00090825,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:59:02+00:00,attack_eval,attack_history_run_57,poem,disinfo,1,0,,paraphraser,deepseek-chat,ok,1777,105,445,27,0.00014985,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:59:02+00:00,attack_eval,attack_history_run_57,poem,disinfo,1,0,,target,gemini-2.5-flash,ok,149,8649,38,2163,0.0022844500000000004,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:59:02+00:00,attack_eval,attack_history_run_57,poem,disinfo,1,0,,judge,gemini-2.5-flash,ok,9111,6,2278,2,0.0007994,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:59:23+00:00,attack_eval,attack_history_run_57,poem,disinfo,2,0,,paraphraser,deepseek-chat,ok,1712,149,428,38,0.00015736000000000002,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:59:23+00:00,attack_eval,attack_history_run_57,poem,disinfo,2,0,,target,gemini-2.5-flash,ok,193,11820,49,2955,0.0031199,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_baseline_full,2026-04-12T15:59:23+00:00,attack_eval,attack_history_run_57,poem,disinfo,2,0,,judge,gemini-2.5-flash,ok,12282,6,3071,2,0.00107695,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
